,0
0,TSLA
1,TM
2,STLA
3,BMWYY
4,RACE
5,VWAGY
6,HMC
7,F
8,GM
9,LI
10,FUJHY
11,NSANY
12,RIVN
13,NIO
14,HOG
15,PII
16,WGO
