,Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,TSLA,2024-04-15,170.24000549316406,170.69000244140625,161.3800048828125,161.47999572753906,100245300,0.0,0.0
1,TSLA,2024-04-16,156.74000549316406,158.19000244140625,153.75,157.11000061035156,97000000,0.0,0.0
2,TSLA,2024-04-17,157.63999938964844,158.3300018310547,153.77999877929688,155.4499969482422,82439700,0.0,0.0
3,TSLA,2024-04-18,151.25,152.1999969482422,148.6999969482422,149.92999267578125,96098800,0.0,0.0
4,TSLA,2024-04-19,148.97000122070312,150.94000244140625,146.22000122070312,147.0500030517578,86005100,0.0,0.0
0,TM,2024-04-15,245.7100067138672,246.07000732421875,241.3300018310547,241.6699981689453,158400,0.0,0.0
1,TM,2024-04-16,236.2899932861328,237.3699951171875,234.63999938964844,236.52000427246094,306100,0.0,0.0
2,TM,2024-04-17,234.58999633789062,235.2899932861328,233.00999450683594,233.97000122070312,306800,0.0,0.0
3,TM,2024-04-18,233.72999572753906,234.11000061035156,231.6999969482422,231.83999633789062,220200,0.0,0.0
4,TM,2024-04-19,229.5,229.7899932861328,227.3800048828125,228.72000122070312,425700,0.0,0.0
0,STLA,2024-04-15,25.287867442985522,25.306585759645706,24.445562829123396,24.567228317260742,6527600,0.0,0.0
1,STLA,2024-04-16,24.127359669968605,24.370692442250327,23.940180065112813,24.146076202392578,4617600,0.0,0.0
2,STLA,2024-04-17,24.417486371290988,24.417486371290988,24.024410630437405,24.13671875,3462800,0.0,0.0
3,STLA,2024-04-18,24.13671794466593,24.305177440773583,23.977615821889028,24.099281311035156,6328100,0.0,0.0
4,STLA,2024-04-19,24.155434879696408,24.29581868800173,23.865308104521812,24.118000030517578,5972400,0.0,0.0
0,BMWYY,2024-04-15,39.5099983215332,39.61000061035156,38.599998474121094,38.61000061035156,64100,0.0,0.0
1,BMWYY,2024-04-16,37.7400016784668,37.869998931884766,37.38999938964844,37.810001373291016,79100,0.0,0.0
2,BMWYY,2024-04-17,37.880001068115234,37.880001068115234,37.5099983215332,37.720001220703125,32700,0.0,0.0
3,BMWYY,2024-04-18,37.72999954223633,38.189998626708984,37.72999954223633,37.83000183105469,36600,0.0,0.0
4,BMWYY,2024-04-19,37.7400016784668,37.849998474121094,37.36000061035156,37.5,54200,0.0,0.0
0,RACE,2024-04-15,416.8169138992062,417.144828052404,407.38739583081144,408.31146240234375,218000,0.0,0.0
1,RACE,2024-04-16,409.3945011559434,410.92469640577445,407.08930778481187,408.7188415527344,203400,0.0,0.0
2,RACE,2024-04-17,416.54863423816727,417.085201723519,410.7806323207534,413.3491516113281,264800,0.0,0.0
3,RACE,2024-04-18,411.3420416954237,415.23704563494505,407.7252219998974,409.9906921386719,216100,0.0,0.0
4,RACE,2024-04-19,413.18023023911286,414.04471188712864,405.49950683542215,406.0459899902344,282900,0.0,0.0
0,VWAGY,2024-04-15,15.645000457763672,15.670000076293945,15.260000228881836,15.289999961853027,121700,0.0,0.0
1,VWAGY,2024-04-16,15.039999961853027,15.100000381469727,14.970000267028809,15.0,127300,0.0,0.0
2,VWAGY,2024-04-17,15.010000228881836,15.039999961853027,14.899999618530273,15.0,122100,0.0,0.0
3,VWAGY,2024-04-18,14.989999771118164,15.119999885559082,14.972999572753906,15.029999732971191,432100,0.0,0.0
4,VWAGY,2024-04-19,14.9399995803833,15.050000190734863,14.9399995803833,14.979999542236328,146000,0.0,0.0
0,HMC,2024-04-15,36.5099983215332,36.52000045776367,35.77000045776367,35.86000061035156,1007100,0.0,0.0
1,HMC,2024-04-16,35.34000015258789,35.36000061035156,35.08000183105469,35.130001068115234,1023000,0.0,0.0
2,HMC,2024-04-17,34.959999084472656,35.029998779296875,34.54999923706055,34.709999084472656,776800,0.0,0.0
3,HMC,2024-04-18,34.75,34.779998779296875,34.43000030517578,34.45000076293945,953100,0.0,0.0
