,Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,TSLA,2024-04-08,169.33999633789062,174.5,167.7899932861328,172.97999572753906,104423300,0.0,0.0
1,TSLA,2024-04-09,172.91000366210938,179.22000122070312,171.9199981689453,176.8800048828125,103232700,0.0,0.0
2,TSLA,2024-04-10,173.0399932861328,174.92999267578125,170.00999450683594,171.75999450683594,84532400,0.0,0.0
3,TSLA,2024-04-11,172.5500030517578,175.8800048828125,168.50999450683594,174.60000610351562,94516000,0.0,0.0
4,TSLA,2024-04-12,172.33999633789062,173.80999755859375,170.36000061035156,171.0500030517578,64506600,0.0,0.0
0,TM,2024-04-08,243.39999389648438,245.83999633789062,243.3300018310547,244.2100067138672,218900,0.0,0.0
1,TM,2024-04-09,247.86000061035156,248.47000122070312,245.67999267578125,246.92999267578125,232400,0.0,0.0
2,TM,2024-04-10,246.0,246.1199951171875,243.86000061035156,244.7899932861328,214600,0.0,0.0
3,TM,2024-04-11,246.5,247.14999389648438,244.47000122070312,246.99000549316406,172500,0.0,0.0
4,TM,2024-04-12,245.00999450683594,245.27000427246094,242.6300048828125,242.97000122070312,207400,0.0,0.0
0,STLA,2024-04-08,25.241072725606124,25.381458321455455,25.147484708475904,25.194278717041016,2555100,0.0,0.0
1,STLA,2024-04-09,25.793249093090775,25.793249093090775,25.31594273619703,25.503122329711914,4457100,0.0,0.0
2,STLA,2024-04-10,25.269148895061292,25.4282510150629,25.072611927158842,25.222354888916016,4389400,0.0,0.0
3,STLA,2024-04-11,25.46568716022781,25.46568716022781,25.044535728235452,25.28786849975586,5881300,0.0,0.0
4,STLA,2024-04-12,24.567228284259055,24.567228284259055,24.11799939547964,24.277101516723633,6752200,0.0,0.0
0,BMWYY,2024-04-08,41.279998779296875,41.54999923706055,41.279998779296875,41.38999938964844,66500,0.0,0.0
1,BMWYY,2024-04-09,41.63999938964844,41.63999938964844,41.13999938964844,41.369998931884766,29900,0.0,0.0
2,BMWYY,2024-04-10,40.11000061035156,40.529998779296875,39.79999923706055,39.900001525878906,83700,0.0,0.0
3,BMWYY,2024-04-11,40.2599983215332,40.2599983215332,39.56999969482422,40.16999816894531,70500,0.0,0.0
4,BMWYY,2024-04-12,39.27000045776367,39.33000183105469,38.560001373291016,38.599998474121094,84700,0.0,0.0
0,RACE,2024-04-08,421.8347558455551,422.99728339376145,418.9333493195227,420.8510437011719,284400,0.0,0.0
1,RACE,2024-04-09,419.8077512326053,420.41384964378705,412.6039495842352,417.82049560546875,217200,0.0,0.0
2,RACE,2024-04-10,411.61032222060845,419.34074540569554,411.61032222060845,417.14483642578125,247400,0.0,0.0
3,RACE,2024-04-11,417.32368000840944,419.12214391783465,412.7033167586535,417.7012634277344,163000,0.0,0.0
4,RACE,2024-04-12,408.91760134358833,411.242686802536,407.1886683178724,407.78485107421875,250000,0.0,0.0
0,VWAGY,2024-04-08,16.219999313354492,16.290000915527344,16.049999237060547,16.049999237060547,114900,0.0,0.0
1,VWAGY,2024-04-09,16.1200008392334,16.149999618530273,15.949999809265137,15.979999542236328,393300,0.0,0.0
2,VWAGY,2024-04-10,15.800000190734863,15.890000343322754,15.6899995803833,15.720000267028809,116400,0.0,0.0
3,VWAGY,2024-04-11,15.739999771118164,15.739999771118164,15.520000457763672,15.718000411987305,123000,0.0,0.0
4,VWAGY,2024-04-12,15.609999656677246,15.65999984741211,15.359999656677246,15.380000114440918,123200,0.0,0.0
0,HMC,2024-04-08,36.900001525878906,37.2599983215332,36.849998474121094,37.0099983215332,678200,0.0,0.0
1,HMC,2024-04-09,37.279998779296875,37.34000015258789,36.849998474121094,37.040000915527344,906500,0.0,0.0
2,HMC,2024-04-10,36.79999923706055,36.79999923706055,36.5,36.58000183105469,833200,0.0,0.0
3,HMC,2024-04-11,36.7599983215332,36.779998779296875,36.34000015258789,36.650001525878906,491100,0.0,0.0
4,HMC,2024-04-12,36.40999984741211,36.4900016784668,36.06999969482422,36.099998474121094,1009700,0.0,0.0
0,F,2024-04-08,13.189800232582172,13.377519815947029,13.189800232582172,13.249079704284668,29900500,0.0,0.0
1,F,2024-04-09,13.308359910891706,13.426919794679915,13.179919801230263,13.377519607543945,35542700,0.0,0.0
2,F,2024-04-10,13.10088006733753,13.130519803153799,12.794599656468701,12.903280258178711,51395000,0.0,0.0
3,F,2024-04-11,12.952678866915926,12.982319543504984,12.755079067473037,12.883519172668457,38383100,0.0,0.0
4,F,2024-04-12,12.764959602452747,12.764959602452747,12.349999542448076,12.45867919921875,52319600,0.0,0.0
0,GM,2024-04-08,44.43000030517578,44.849998474121094,44.279998779296875,44.34000015258789,8250400,0.0,0.0
1,GM,2024-04-09,44.58000183105469,44.869998931884766,44.06999969482422,44.72999954223633,8794800,0.0,0.0
2,GM,2024-04-10,43.900001525878906,44.54999923706055,43.5099983215332,43.939998626708984,11636400,0.0,0.0
3,GM,2024-04-11,43.900001525878906,43.9900016784668,43.189998626708984,43.84000015258789,19563000,0.0,0.0
4,GM,2024-04-12,43.5,43.58000183105469,42.650001525878906,43.08000183105469,11901500,0.0,0.0
0,LI,2024-04-08,30.899999618530273,31.6299991607666,30.764999389648438,31.260000228881836,8166900,0.0,0.0
1,LI,2024-04-09,31.399999618530273,32.11000061035156,31.3700008392334,31.790000915527344,6615200,0.0,0.0
2,LI,2024-04-10,31.329999923706055,31.860000610351562,31.1200008392334,31.600000381469727,3151900,0.0,0.0
3,LI,2024-04-11,31.290000915527344,31.579999923706055,30.729999542236328,30.84000015258789,4464900,0.0,0.0
4,LI,2024-04-12,29.979999542236328,30.020000457763672,29.350000381469727,29.389999389648438,5800700,0.0,0.0
0,FUJHY,2024-04-08,11.489999771118164,11.600000381469727,11.489999771118164,11.5600004196167,17300,0.0,0.0
1,FUJHY,2024-04-09,11.5600004196167,11.59000015258789,11.460000038146973,11.5,18200,0.0,0.0
2,FUJHY,2024-04-10,11.600000381469727,11.600000381469727,11.4399995803833,11.510000228881836,51600,0.0,0.0
3,FUJHY,2024-04-11,11.5,11.649999618530273,11.5,11.619999885559082,47400,0.0,0.0
4,FUJHY,2024-04-12,11.40999984741211,11.529999732971191,11.3100004196167,11.460000038146973,22700,0.0,0.0
0,NSANY,2024-04-08,7.889999866485596,7.889999866485596,7.610000133514404,7.75,103700,0.0,0.0
1,NSANY,2024-04-09,7.800000190734863,7.900000095367432,7.699999809265137,7.800000190734863,55700,0.0,0.0
2,NSANY,2024-04-10,8.0,8.020000457763672,7.690000057220459,7.78000020980835,65700,0.0,0.0
3,NSANY,2024-04-11,7.690000057220459,7.71999979019165,7.610000133514404,7.699999809265137,71500,0.0,0.0
4,NSANY,2024-04-12,7.900000095367432,7.900000095367432,7.619999885559082,7.650000095367432,41900,0.0,0.0
0,RIVN,2024-04-08,10.1899995803833,10.494999885559082,10.15999984741211,10.4399995803833,28700500,0.0,0.0
1,RIVN,2024-04-09,10.449999809265137,10.6899995803833,10.390000343322754,10.630000114440918,27209400,0.0,0.0
2,RIVN,2024-04-10,10.25,10.420000076293945,10.109999656677246,10.270000457763672,30300700,0.0,0.0
3,RIVN,2024-04-11,10.25,10.300000190734863,9.380000114440918,9.569999694824219,80132300,0.0,0.0
4,RIVN,2024-04-12,9.479999542236328,9.510000228881836,9.079999923706055,9.130000114440918,57663100,0.0,0.0
0,NIO,2024-04-08,4.409999847412109,4.53000020980835,4.369999885559082,4.369999885559082,47453500,0.0,0.0
1,NIO,2024-04-09,4.429999828338623,4.789999961853027,4.420000076293945,4.710000038146973,76666000,0.0,0.0
2,NIO,2024-04-10,4.579999923706055,4.690000057220459,4.539999961853027,4.590000152587891,32568000,0.0,0.0
3,NIO,2024-04-11,4.599999904632568,4.610000133514404,4.429999828338623,4.460000038146973,39040200,0.0,0.0
4,NIO,2024-04-12,4.349999904632568,4.349999904632568,4.090000152587891,4.110000133514404,74700300,0.0,0.0
0,HOG,2024-04-08,42.97999954223633,43.630001068115234,42.650001525878906,43.18000030517578,1794600,0.0,0.0
1,HOG,2024-04-09,43.11000061035156,43.18000030517578,42.369998931884766,42.880001068115234,1752100,0.0,0.0
2,HOG,2024-04-10,41.900001525878906,42.4900016784668,41.22999954223633,41.34000015258789,1839800,0.0,0.0
3,HOG,2024-04-11,41.880001068115234,41.880001068115234,39.709999084472656,40.599998474121094,2543500,0.0,0.0
4,HOG,2024-04-12,40.2400016784668,40.5099983215332,39.529998779296875,39.709999084472656,1966600,0.0,0.0
0,PII,2024-04-08,99.51000213623047,100.0,96.87999725341797,97.52999877929688,476100,0.0,0.0
