,Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,TSLA,2024-03-01,200.52000427246094,204.52000427246094,198.5,202.63999938964844,82099200,0.0,0.0
1,TSLA,2024-03-04,198.72999572753906,199.75,186.72000122070312,188.13999938964844,134334900,0.0,0.0
2,TSLA,2024-03-05,183.0500030517578,184.58999633789062,177.57000732421875,180.74000549316406,119660800,0.0,0.0
3,TSLA,2024-03-06,179.99000549316406,181.5800018310547,173.6999969482422,176.5399932861328,107920900,0.0,0.0
4,TSLA,2024-03-07,174.35000610351562,180.0399932861328,173.6999969482422,178.64999389648438,102129000,0.0,0.0
5,TSLA,2024-03-08,181.5,182.72999572753906,174.6999969482422,175.33999633789062,85315300,0.0,0.0
6,TSLA,2024-03-11,175.4499969482422,182.8699951171875,174.8000030517578,177.77000427246094,85391500,0.0,0.0
7,TSLA,2024-03-12,177.77000427246094,179.42999267578125,172.41000366210938,177.5399932861328,87391700,0.0,0.0
8,TSLA,2024-03-13,173.0500030517578,176.0500030517578,169.14999389648438,169.47999572753906,106524500,0.0,0.0
9,TSLA,2024-03-14,167.77000427246094,171.1699981689453,160.50999450683594,162.5,126325700,0.0,0.0
10,TSLA,2024-03-15,163.16000366210938,165.17999267578125,160.75999450683594,163.57000732421875,96971900,0.0,0.0
11,TSLA,2024-03-18,170.02000427246094,174.72000122070312,165.89999389648438,173.8000030517578,108214400,0.0,0.0
12,TSLA,2024-03-19,172.36000061035156,172.82000732421875,167.4199981689453,171.32000732421875,77271400,0.0,0.0
13,TSLA,2024-03-20,173.0,176.25,170.82000732421875,175.66000366210938,83846700,0.0,0.0
14,TSLA,2024-03-21,176.38999938964844,178.17999267578125,171.8000030517578,172.82000732421875,73178000,0.0,0.0
15,TSLA,2024-03-22,166.69000244140625,171.1999969482422,166.3000030517578,170.8300018310547,75454700,0.0,0.0
16,TSLA,2024-03-25,168.75999450683594,175.24000549316406,168.72999572753906,172.6300048828125,74228600,0.0,0.0
17,TSLA,2024-03-26,178.5800018310547,184.25,177.3800048828125,177.6699981689453,113186200,0.0,0.0
18,TSLA,2024-03-27,181.41000366210938,181.91000366210938,176.0,179.8300018310547,81804000,0.0,0.0
19,TSLA,2024-03-28,177.4499969482422,179.57000732421875,175.3000030517578,175.7899932861328,77654800,0.0,0.0
0,TM,2024-03-01,244.66000366210938,246.5399932861328,244.55999755859375,246.0399932861328,337500,0.0,0.0
1,TM,2024-03-04,244.19000244140625,244.7899932861328,243.24000549316406,243.83999633789062,281500,0.0,0.0
2,TM,2024-03-05,247.7100067138672,249.99000549316406,246.80999755859375,248.19000244140625,314100,0.0,0.0
3,TM,2024-03-06,252.14999389648438,253.42999267578125,250.92999267578125,252.39999389648438,331300,0.0,0.0
4,TM,2024-03-07,246.92999267578125,248.0500030517578,245.6999969482422,247.94000244140625,359800,0.0,0.0
5,TM,2024-03-08,245.0,245.8000030517578,242.5800018310547,242.82000732421875,379500,0.0,0.0
6,TM,2024-03-11,237.41000366210938,237.41000366210938,235.1699981689453,235.4600067138672,379800,0.0,0.0
7,TM,2024-03-12,236.80999755859375,238.44000244140625,235.4499969482422,237.9499969482422,242900,0.0,0.0
8,TM,2024-03-13,233.41000366210938,233.5399932861328,231.3699951171875,232.8300018310547,298300,0.0,0.0
9,TM,2024-03-14,233.36000061035156,233.36000061035156,230.36000061035156,230.97000122070312,224900,0.0,0.0
10,TM,2024-03-15,234.91000366210938,235.1199951171875,233.5399932861328,234.6199951171875,179100,0.0,0.0
11,TM,2024-03-18,237.5800018310547,238.8300018310547,237.27999877929688,238.66000366210938,194100,0.0,0.0
12,TM,2024-03-19,242.67999267578125,245.08999633789062,242.41000366210938,244.32000732421875,347400,0.0,0.0
13,TM,2024-03-20,244.67999267578125,246.8000030517578,244.30999755859375,246.72000122070312,214900,0.0,0.0
14,TM,2024-03-21,251.4499969482422,251.7899932861328,250.25999450683594,251.47999572753906,245500,0.0,0.0
15,TM,2024-03-22,255.0,255.22999572753906,253.58999633789062,254.77000427246094,285400,0.0,0.0
16,TM,2024-03-25,252.11000061035156,253.4199981689453,251.0399932861328,252.41000366210938,196900,0.0,0.0
